OBJECTID,Oceans,Regions,SubRegions,Sampling Method,Measurement,Unit,Density Range,Density Class,Short Reference,Long Reference,DOI,Organization,Keywords,Accession Number,Accession Link,Latitude,Longitude,Date,GlobalID,x,y
21592,Pacific Ocean,Philippine Sea,,Neuston net,0.050433,pieces/m3,0.005-1,Medium,Thushari et al. 2023,"Thushari, G.G.N., K. Miyazono, T. Sato, R. Yamashita, A. Takasuka, M. Watai, T. Yasuda, H. Kuroda, K. Takahashi. 2023. Floating plastic accumulation and distribution around Kuroshio Current, western North Pacific. Marine Pollution Bulletin 188, 114604. https://doi.org/10.1016/j.marpolbul.2023.114604",https://doi.org/10.1016/j.marpolbul.2023.114604,"The University of Tokyo, Japan",Kuroshio Current,279325,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279325,32.003333,135.005,2/20/2014 12:00:00 AM,e38b86f2-6078-49cc-810f-3a30654404d1,135.005,32.0033330000001
21543,Pacific Ocean,Philippine Sea,,Neuston net,0.034702,pieces/m3,0.005-1,Medium,Thushari et al. 2023,"Thushari, G.G.N., K. Miyazono, T. Sato, R. Yamashita, A. Takasuka, M. Watai, T. Yasuda, H. Kuroda, K. Takahashi. 2023. Floating plastic accumulation and distribution around Kuroshio Current, western North Pacific. Marine Pollution Bulletin 188, 114604. https://doi.org/10.1016/j.marpolbul.2023.114604",https://doi.org/10.1016/j.marpolbul.2023.114604,"The University of Tokyo, Japan",Kuroshio Current,279325,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279325,33.008333,139.003333,2/7/2014 12:00:00 AM,f2575405-ae86-4994-8f8a-ec0e4fdb8d5c,139.003333,33.0083330000001
11742,Pacific Ocean,,,Neuston net,0.394404,pieces/m3,0.005-1,Medium,Eriksen et al.2014,"Eriksen, M., L.C.M. Lebreton, H.S. Carson, M. Thiel, C.J. Moore, J.C. Borerro, F. Galgani, P.G. Ryan, J. Reisser. 2014. Plastic Pollution in the World’s Oceans: More than 5 Trillion Plastic Pieces Weighing over 250,000 Tons Afloat at Sea. PLoS ONE 9(12): e111913. doi:10.1371/journal.pone.0111913",https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,SV Mir; ORV Alguita; SV Sea Dragon; RV Stad Amsterdam,275968,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:275968,32.0859,153.1712,6/15/2012 12:00:00 AM,8484f718-64d5-4739-bda4-8bf80aae0d7c,153.1712,32.0859
21583,Pacific Ocean,Philippine Sea,,Neuston net,0.049608,pieces/m3,0.005-1,Medium,Thushari et al. 2023,"Thushari, G.G.N., K. Miyazono, T. Sato, R. Yamashita, A. Takasuka, M. Watai, T. Yasuda, H. Kuroda, K. Takahashi. 2023. Floating plastic accumulation and distribution around Kuroshio Current, western North Pacific. Marine Pollution Bulletin 188, 114604. https://doi.org/10.1016/j.marpolbul.2023.114604",https://doi.org/10.1016/j.marpolbul.2023.114604,"The University of Tokyo, Japan",Kuroshio Current,279325,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279325,31.501667,136.996667,2/17/2014 12:00:00 AM,2276be43-33ce-4a56-a41b-489e06377671,136.996667,31.5016670000001
21529,Pacific Ocean,,,Neuston net,0.017975,pieces/m3,0.005-1,Medium,Thushari et al. 2023,"Thushari, G.G.N., K. Miyazono, T. Sato, R. Yamashita, A. Takasuka, M. Watai, T. Yasuda, H. Kuroda, K. Takahashi. 2023. Floating plastic accumulation and distribution around Kuroshio Current, western North Pacific. Marine Pollution Bulletin 188, 114604. https://doi.org/10.1016/j.marpolbul.2023.114604",https://doi.org/10.1016/j.marpolbul.2023.114604,"The University of Tokyo, Japan",Kuroshio Current,279325,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279325,33.501667,140.998333,2/4/2014 12:00:00 AM,99fce203-943a-4a07-b707-a1fc077d1fdc,140.998333,33.5016670000001
21575,Pacific Ocean,Philippine Sea,,Neuston net,0.046879,pieces/m3,0.005-1,Medium,Thushari et al. 2023,"Thushari, G.G.N., K. Miyazono, T. Sato, R. Yamashita, A. Takasuka, M. Watai, T. Yasuda, H. Kuroda, K. Takahashi. 2023. Floating plastic accumulation and distribution around Kuroshio Current, western North Pacific. Marine Pollution Bulletin 188, 114604. https://doi.org/10.1016/j.marpolbul.2023.114604",https://doi.org/10.1016/j.marpolbul.2023.114604,"The University of Tokyo, Japan",Kuroshio Current,279325,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279325,31,140,2/5/2014 12:00:00 AM,36995830-c680-4754-a149-7c800f55020c,140,31.0000000000001
21566,Pacific Ocean,Philippine Sea,,Neuston net,0.053929,pieces/m3,0.005-1,Medium,Thushari et al. 2023,"Thushari, G.G.N., K. Miyazono, T. Sato, R. Yamashita, A. Takasuka, M. Watai, T. Yasuda, H. Kuroda, K. Takahashi. 2023. Floating plastic accumulation and distribution around Kuroshio Current, western North Pacific. Marine Pollution Bulletin 188, 114604. https://doi.org/10.1016/j.marpolbul.2023.114604",https://doi.org/10.1016/j.marpolbul.2023.114604,"The University of Tokyo, Japan",Kuroshio Current,279325,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279325,33.505,137.501667,2/11/2014 12:00:00 AM,853c4464-1958-428f-8515-eba89dba7dcc,137.501667,33.5050000000001
11751,Pacific Ocean,,,Neuston net,0.925087,pieces/m3,0.005-1,Medium,Eriksen et al.2014,"Eriksen, M., L.C.M. Lebreton, H.S. Carson, M. Thiel, C.J. Moore, J.C. Borerro, F. Galgani, P.G. Ryan, J. Reisser. 2014. Plastic Pollution in the World’s Oceans: More than 5 Trillion Plastic Pieces Weighing over 250,000 Tons Afloat at Sea. PLoS ONE 9(12): e111913. doi:10.1371/journal.pone.0111913",https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,SV Mir; ORV Alguita; SV Sea Dragon; RV Stad Amsterdam,275968,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:275968,28.4783,175.315,6/24/2012 12:00:00 AM,dfdb1310-aaf0-45ce-8114-d383f211a95f,175.315,28.4783
11728,Pacific Ocean,,,Neuston net,0.082536,pieces/m3,0.005-1,Medium,Eriksen et al.2014,"Eriksen, M., L.C.M. Lebreton, H.S. Carson, M. Thiel, C.J. Moore, J.C. Borerro, F. Galgani, P.G. Ryan, J. Reisser. 2014. Plastic Pollution in the World’s Oceans: More than 5 Trillion Plastic Pieces Weighing over 250,000 Tons Afloat at Sea. PLoS ONE 9(12): e111913. doi:10.1371/journal.pone.0111913",https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,SV Mir; ORV Alguita; SV Sea Dragon; RV Stad Amsterdam,275968,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:275968,19.6586,155.1127,5/11/2012 12:00:00 AM,5c15ea5f-18e4-4f65-add4-973da55e4d75,155.1127,19.6586
21546,Pacific Ocean,Philippine Sea,,Neuston net,0.012523,pieces/m3,0.005-1,Medium,Thushari et al. 2023,"Thushari, G.G.N., K. Miyazono, T. Sato, R. Yamashita, A. Takasuka, M. Watai, T. Yasuda, H. Kuroda, K. Takahashi. 2023. Floating plastic accumulation and distribution around Kuroshio Current, western North Pacific. Marine Pollution Bulletin 188, 114604. https://doi.org/10.1016/j.marpolbul.2023.114604",https://doi.org/10.1016/j.marpolbul.2023.114604,"The University of Tokyo, Japan",Kuroshio Current,279325,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279325,33.995,137.996667,2/11/2014 12:00:00 AM,fcb7c34d-31de-4006-8b8c-0692c810160f,137.996667,33.9950000000001
